III TRIMESTRE 2013 GETTONI CONSIGLIO;04/07/2013;08/07/2013;11/07/2013;12/07/2013;15/07/2013;22/07/2013;23/07/2013;23/09/2013;30/09/2013;presenze minore di metà;rimborso presenza minore di metà;presenze maggiori di metà; totale gettoni da pagare ;rimborso presenza maggiore di metà ; totale presenze ;TOTALE GETTONI AL CONSIGLIERE;IRAP;TOTALE GETTONI +IRAP
ADENTI FRANCESCO;P;P;P;P;P;G;G;P;P;0;€ 0,00;7;7;€ 650,79;7;€ 650,79;;
ARCURI GIUSEPPE;P;P;P;P;P;P;P;G;P;0;€ 0,00;8;8;€ 743,76;8;€ 743,76;;
BAZZANI FAUSTO;P;P;P;P;P;P;G;P;P;0;€ 0,00;8;8;€ 743,76;8;€ 743,76;;
BOBBIO PALLAVICINI P.;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
BOFFINI LUIGI;P;P;P;P;P;P;P;P;P/2;1;€ 34,17;8;8;€ 743,76;9;€ 777,93;;
BRENDOLISE FRANCESCO;P;P;G;P;P;P;P;P;P;0;€ 0,00;8;8;€ 0,00;8;€ 0,00;;
CASTAGNA FABIO;P;P;P;P;P;P;G;P;P;0;€ 0,00;8;8;€ 743,76;8;€ 743,76;;
CATARISANO ARMANDO;G;P;P;P;P;P;P;P;P;0;€ 0,00;8;8;€ 743,76;8;€ 743,76;;
CONTI CARLO ALBERTO;G;P;P;G;P;P;P;P;P;0;€ 0,00;7;7;€ 650,79;7;€ 650,79;;
DEMARIA GIOVANNI;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
DEPAOLI MASSIMO;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
FACCIOTTO CRISTIANO;P;P;P;P;P;P;P/2;P;P;1;€ 34,17;8;8;€ 743,76;9;€ 777,93;;
FERRETTI PIETRO;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
FRASCHINI NICCOLO';P;P;P;P;P;P;G;P;P;0;€ 0,00;8;8;€ 743,76;8;€ 743,76;;
GIMIGLIANO VALERIO;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
GIULIANI GUIDO;P;G;G;G;P;P;P/2;P;P;1;€ 34,17;5;5;€ 464,85;6;€ 499,02;;
GUERINI CARLO;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
IMPARATO KARINEVA;P;G;P;P;G;G;G;;;0;€ 0,00;3;3;€ 278,91;3;€ 278,91;;
IRIANNI FRANCESCO;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
LABATE DANTE;P;P;P;P;P;P;P;G;P;0;€ 0,00;8;8;€ 743,76;8;€ 743,76;;
LAZZARI DAVIDE;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
LORUSSO GIUSEPPE;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
MAGGI SERGIO;G;P;P;P;P;P;P;P;P;0;€ 0,00;8;8;€ 743,76;8;€ 743,76;;
MARTINI FRANCO;P;P;P;P;P;P;G;G;P/2;1;€ 34,17;6;6;€ 557,82;7;€ 591,99;;
MAZZACANE BRUNO;;;;;;;;P;P;0;€ 0,00;2;2;€ 185,94;2;€ 185,94;;
OTTINI DAVIDE;G;P;G;P;P;G;G;P;P;0;€ 0,00;5;5;€ 464,85;5;€ 464,85;;
PELLEGRINO SERGIO;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
PEZZA MATTEO;P;P;P;G;P;P;P;P;P;0;€ 0,00;8;8;€ 743,76;8;€ 743,76;;
PIEROTTI CEI ORETTA;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
PINI FRANCESCA;P;P;P;P;P;P;P;G;P;0;€ 0,00;8;8;€ 743,76;8;€ 743,76;;
RIZZARDI ROBERTO;G;P;P;P;P;P;P;P;P;0;€ 0,00;8;8;€ 743,76;8;€ 743,76;;
ROGNONI MARIA R.;P;P;P;G;G;G;G;P;P;0;€ 0,00;5;5;€ 464,85;5;€ 464,85;;
ROSSELLA MASSIMO;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
RUFFINAZZI GIULIANO;G;G;G;G;P;P;P;P;P;0;€ 0,00;5;5;€ 464,85;5;€ 464,85;;
SACCHI ANTONIO;G;P;P/2;G;P/2;G;G;P;P;2;€ 68,34;3;3;€ 278,91;5;€ 347,25;;
STANGALINO ROBERTO;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
TACCUSO BLANDINO;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
VAGHI ROSANGELA;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
VELTRI WALTER;P;P;P;P;P;G;G;P;P;0;€ 0,00;7;7;€ 650,79;7;€ 650,79;;
VIGNA VINCENZO;P;P;P;P;P;P;P;P;P;0;€ 0,00;9;9;€ 836,73;9;€ 836,73;;
Totale;32;36;35;33;37;33;29;35;39;6;€ 205,02;303;303;€ 27.426,15;309;€ 27.631,17;€ 2.348,65;€ 29.979,82
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
